"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"envelope"	 		"Type         "	"envelope"	 
"Date         "	09/10/95	 		"Date         "	09/10/95	 
"Time         "	01:40:07	 		"Time         "	01:40:07	 
"X Scale      "	1.00e-02	 		"X Scale      "	1.00e-02	 
"X At 0%      "	4.72e-02	 		"X At 0%      "	4.72e-02	 
"X Resolution "	2.500000e+01	 		"X Resolution "	2.500000e+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"10 ms/Div"	 		"X Label      "	"10 ms/Div"	 
"Y Scale      "	5.0e-01	 		"Y Scale      "	2.00e-02	 
"Y At 50%     "	1.34e+00	 		"Y At 50%     "	-8.00e-02	 
"Y Resolution "	2.500000e+01	 		"Y Resolution "	2.500000e+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"V"	 		"Y Label      "	"mV"	 

7.12e-02	2.70e+00	2.74e+00		7.12e-02	-2.32e-02	-2.00e-02
7.16e-02	2.70e+00	2.74e+00		7.16e-02	-2.32e-02	-2.00e-02
7.20e-02	2.68e+00	2.72e+00		7.20e-02	-2.40e-02	-2.00e-02
7.24e-02	2.64e+00	2.70e+00		7.24e-02	-2.32e-02	-2.00e-02
7.28e-02	2.64e+00	2.70e+00		7.28e-02	-2.72e-02	-2.16e-02
7.32e-02	2.60e+00	2.66e+00		7.32e-02	-5.12e-02	-2.40e-02
7.36e-02	2.62e+00	2.68e+00		7.36e-02	-1.184e-01	-4.64e-02
7.40e-02	2.60e+00	2.64e+00		7.40e-02	-4.40e-02	-2.48e-02
7.44e-02	2.58e+00	2.62e+00		7.44e-02	-2.56e-02	-2.08e-02
7.48e-02	2.60e+00	2.64e+00		7.48e-02	-2.40e-02	-2.08e-02
7.52e-02	2.58e+00	2.66e+00		7.52e-02	-2.32e-02	-2.00e-02
7.56e-02	2.54e+00	2.58e+00		7.56e-02	-2.40e-02	-2.00e-02
7.60e-02	2.54e+00	2.58e+00		7.60e-02	-2.24e-02	-2.00e-02
7.64e-02	2.52e+00	2.58e+00		7.64e-02	-2.24e-02	-1.92e-02
7.68e-02	2.52e+00	2.56e+00		7.68e-02	-2.32e-02	-1.92e-02
7.72e-02	2.50e+00	2.58e+00		7.72e-02	-2.24e-02	-1.92e-02
7.76e-02	2.48e+00	2.54e+00		7.76e-02	-2.16e-02	-1.84e-02
7.80e-02	2.50e+00	2.54e+00		7.80e-02	-2.24e-02	-1.92e-02
7.84e-02	2.46e+00	2.54e+00		7.84e-02	-2.24e-02	-1.92e-02
7.88e-02	2.44e+00	2.50e+00		7.88e-02	-2.24e-02	-1.84e-02
7.92e-02	2.44e+00	2.50e+00		7.92e-02	-2.24e-02	-1.92e-02
7.96e-02	2.44e+00	2.48e+00		7.96e-02	-2.16e-02	-1.84e-02
8.00e-02	2.44e+00	2.50e+00		8.00e-02	-2.24e-02	-2.00e-02
8.04e-02	2.38e+00	2.44e+00		8.04e-02	-2.24e-02	-1.92e-02
8.08e-02	2.36e+00	2.42e+00		8.08e-02	-2.24e-02	-1.92e-02
8.12e-02	2.38e+00	2.42e+00		8.12e-02	-2.72e-02	-2.00e-02
8.16e-02	2.36e+00	2.40e+00		8.16e-02	-2.80e-02	-2.08e-02
8.20e-02	2.34e+00	2.38e+00		8.20e-02	-2.32e-02	-2.00e-02
8.24e-02	2.30e+00	2.38e+00		8.24e-02	-2.40e-02	-2.00e-02
8.28e-02	2.32e+00	2.36e+00		8.28e-02	-2.40e-02	-2.00e-02
8.32e-02	2.28e+00	2.32e+00		8.32e-02	-2.32e-02	-1.92e-02
8.36e-02	2.28e+00	2.34e+00		8.36e-02	-2.32e-02	-2.00e-02
8.40e-02	2.26e+00	2.32e+00		8.40e-02	-2.40e-02	-2.00e-02
8.44e-02	2.24e+00	2.28e+00		8.44e-02	-2.40e-02	-2.00e-02
8.48e-02	2.22e+00	2.26e+00		8.48e-02	-2.32e-02	-2.00e-02
8.52e-02	2.20e+00	2.24e+00		8.52e-02	-2.24e-02	-1.92e-02
8.56e-02	2.20e+00	2.24e+00		8.56e-02	-2.16e-02	-1.92e-02
8.60e-02	2.18e+00	2.24e+00		8.60e-02	-2.32e-02	-1.92e-02
8.64e-02	2.16e+00	2.20e+00		8.64e-02	-2.24e-02	-1.92e-02
8.68e-02	2.14e+00	2.20e+00		8.68e-02	-2.24e-02	-2.00e-02
8.72e-02	2.16e+00	2.18e+00		8.72e-02	-2.32e-02	-1.92e-02
8.76e-02	2.12e+00	2.18e+00		8.76e-02	-2.24e-02	-2.00e-02
8.80e-02	2.14e+00	2.18e+00		8.80e-02	-2.48e-02	-2.00e-02
8.84e-02	2.10e+00	2.14e+00		8.84e-02	-2.24e-02	-2.00e-02
8.88e-02	2.10e+00	2.14e+00		8.88e-02	-2.24e-02	-1.92e-02
