"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"envelope"	 		"Type         "	"envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	00:51:22	 		"Time         "	00:51:22	 
"X Scale      "	2.00e-02	 		"X Scale      "	2.00e-02	 
"X At 0%      "	6.07e-02	 		"X At 0%      "	6.07e-02	 
"X Resolution "	2.500000e+01	 		"X Resolution "	2.500000e+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"20 ms/Div"	 		"X Label      "	"20 ms/Div"	 
"Y Scale      "	1.00e+00	 		"Y Scale      "	1.00e-01	 
"Y At 50%     "	7.2e-01	 		"Y At 50%     "	1.08e-01	 
"Y Resolution "	2.500000e+01	 		"Y Resolution "	2.500000e+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"V"	 		"Y Label      "	"mV"	 

6.07e-02	3.16e+00	3.24e+00		6.07e-02	-2.4e-02	-1.2e-02
6.15e-02	3.24e+00	3.28e+00		6.15e-02	-2.0e-02	-1.2e-02
6.23e-02	3.12e+00	3.24e+00		6.23e-02	-2.0e-02	-1.2e-02
6.31e-02	3.20e+00	3.24e+00		6.31e-02	-2.0e-02	-1.2e-02
6.39e-02	3.16e+00	3.24e+00		6.39e-02	-3.2e-02	-2.0e-02
6.47e-02	3.16e+00	3.24e+00		6.47e-02	-2.4e-02	-1.6e-02
6.55e-02	3.16e+00	3.20e+00		6.55e-02	-2.8e-02	-1.6e-02
6.63e-02	3.12e+00	3.20e+00		6.63e-02	-2.4e-02	-1.2e-02
6.71e-02	3.16e+00	3.20e+00		6.71e-02	-2.4e-02	-1.6e-02
6.79e-02	3.12e+00	3.16e+00		6.79e-02	-2.4e-02	-1.6e-02
6.87e-02	3.12e+00	3.16e+00		6.87e-02	-2.4e-02	-1.6e-02
6.95e-02	3.08e+00	3.16e+00		6.95e-02	-2.4e-02	-1.6e-02
7.03e-02	3.04e+00	3.12e+00		7.03e-02	-2.4e-02	-1.2e-02
7.11e-02	3.08e+00	3.16e+00		7.11e-02	-2.4e-02	-1.2e-02
7.19e-02	3.08e+00	3.16e+00		7.19e-02	-2.0e-02	-1.2e-02
7.27e-02	3.04e+00	3.16e+00		7.27e-02	-2.4e-02	-1.6e-02
7.35e-02	3.04e+00	3.12e+00		7.35e-02	-2.4e-02	-1.6e-02
7.43e-02	3.00e+00	3.08e+00		7.43e-02	-2.4e-02	-1.2e-02
7.51e-02	3.04e+00	3.12e+00		7.51e-02	-2.0e-02	-1.2e-02
7.59e-02	3.04e+00	3.12e+00		7.59e-02	-2.8e-02	-1.6e-02
7.67e-02	3.00e+00	3.08e+00		7.67e-02	-2.4e-02	-1.2e-02
7.75e-02	3.00e+00	3.08e+00		7.75e-02	-3.2e-02	-1.6e-02
7.83e-02	3.00e+00	3.08e+00		7.83e-02	-1.16e-01	-2.8e-02
7.91e-02	3.00e+00	3.04e+00		7.91e-02	-1.48e-01	-7.2e-02
7.99e-02	2.96e+00	3.04e+00		7.99e-02	-8.0e-02	-2.4e-02
8.07e-02	2.96e+00	3.04e+00		8.07e-02	-2.8e-02	-1.2e-02
8.15e-02	2.92e+00	3.00e+00		8.15e-02	-2.8e-02	-1.6e-02
8.23e-02	2.92e+00	2.96e+00		8.23e-02	-2.0e-02	-1.2e-02
8.31e-02	2.92e+00	3.00e+00		8.31e-02	-2.0e-02	-1.2e-02
8.39e-02	2.92e+00	2.96e+00		8.39e-02	-2.8e-02	-1.6e-02
8.47e-02	2.92e+00	2.96e+00		8.47e-02	-2.0e-02	-1.2e-02
8.55e-02	2.92e+00	3.00e+00		8.55e-02	-2.0e-02	-1.2e-02
8.63e-02	2.88e+00	2.96e+00		8.63e-02	-2.4e-02	-1.6e-02
8.71e-02	2.84e+00	2.92e+00		8.71e-02	-2.0e-02	-1.2e-02
8.79e-02	2.84e+00	2.88e+00		8.79e-02	-2.4e-02	-1.2e-02
8.87e-02	2.88e+00	2.92e+00		8.87e-02	-2.4e-02	-1.6e-02
8.95e-02	2.80e+00	2.88e+00		8.95e-02	-2.4e-02	-1.6e-02
9.03e-02	2.80e+00	2.88e+00		9.03e-02	-2.4e-02	-1.2e-02
9.11e-02	2.84e+00	2.88e+00		9.11e-02	-2.4e-02	-1.6e-02
