"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	00:52:46	 		"Time         "	00:52:46	 
"X Scale      "	2.00E-02	 		"X Scale      "	2.00E-02	 
"X At 0%      "	6.07E-02	 		"X At 0%      "	6.07E-02	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"20 ms/Div"	 		"X Label      "	"20 ms/Div"	 
"Y Scale      "	1.00E+00	 		"Y Scale      "	1.00E-01	 
"Y At 50%     "	7.2E-01	 		"Y At 50%     "	1.08E-01	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"V"	 		"Y Label      "	"mV"	 
1.079E-01	2.64E+00	2.68E+00		1.079E-01	-2.8E-02	-1.2E-02
1.087E-01	2.60E+00	2.64E+00		1.087E-01	-2.4E-02	-1.6E-02
1.095E-01	2.56E+00	2.64E+00		1.095E-01	-2.4E-02	-1.6E-02
1.103E-01	2.56E+00	2.64E+00		1.103E-01	-2.0E-02	-8.E-03
1.111E-01	2.56E+00	2.60E+00		1.111E-01	-2.4E-02	-8.E-03
1.119E-01	2.56E+00	2.64E+00		1.119E-01	-2.0E-02	-1.2E-02
1.127E-01	2.52E+00	2.60E+00		1.127E-01	-2.0E-02	-1.2E-02
1.135E-01	2.52E+00	2.60E+00		1.135E-01	-2.0E-02	-1.6E-02
1.143E-01	2.52E+00	2.56E+00		1.143E-01	-2.4E-02	-1.2E-02
1.151E-01	2.48E+00	2.56E+00		1.151E-01	-2.0E-02	-1.2E-02
1.159E-01	2.52E+00	2.56E+00		1.159E-01	-2.4E-02	-1.6E-02
1.167E-01	2.48E+00	2.56E+00		1.167E-01	-2.4E-02	-1.2E-02
1.175E-01	2.48E+00	2.56E+00		1.175E-01	-2.0E-02	-1.2E-02
1.183E-01	2.48E+00	2.52E+00		1.183E-01	-2.0E-02	-1.2E-02
1.191E-01	2.48E+00	2.52E+00		1.191E-01	-2.4E-02	-1.6E-02
1.199E-01	2.44E+00	2.48E+00		1.199E-01	-2.4E-02	-1.2E-02
1.207E-01	2.40E+00	2.48E+00		1.207E-01	-2.8E-02	-1.6E-02
1.215E-01	2.48E+00	2.52E+00		1.215E-01	-2.4E-02	-2.0E-02
1.223E-01	2.40E+00	2.48E+00		1.223E-01	-2.4E-02	-8.E-03
1.231E-01	2.44E+00	2.52E+00		1.231E-01	-2.0E-02	-1.2E-02
1.239E-01	2.40E+00	2.48E+00		1.239E-01	-2.0E-02	-1.2E-02
1.247E-01	2.40E+00	2.44E+00		1.247E-01	-2.0E-02	-1.2E-02
1.255E-01	2.40E+00	2.44E+00		1.255E-01	-2.0E-02	-8.E-03
1.263E-01	2.40E+00	2.44E+00		1.263E-01	-2.0E-02	-1.2E-02
1.271E-01	2.36E+00	2.40E+00		1.271E-01	-2.4E-02	-1.6E-02
1.279E-01	2.36E+00	2.36E+00		1.279E-01	-2.4E-02	-1.2E-02
1.287E-01	2.28E+00	2.40E+00		1.287E-01	-2.0E-02	-1.2E-02
1.295E-01	2.32E+00	2.40E+00		1.295E-01	-2.4E-02	-1.2E-02
1.303E-01	2.32E+00	2.36E+00		1.303E-01	-2.4E-02	-1.2E-02
1.311E-01	2.32E+00	2.36E+00		1.311E-01	-2.8E-02	-1.6E-02
1.319E-01	2.28E+00	2.32E+00		1.319E-01	-2.8E-02	-1.2E-02
1.327E-01	2.24E+00	2.32E+00		1.327E-01	-2.8E-02	-1.6E-02
1.335E-01	2.24E+00	2.32E+00		1.335E-01	-2.4E-02	-1.2E-02
1.343E-01	2.20E+00	2.28E+00		1.343E-01	-2.4E-02	-1.2E-02
1.351E-01	2.28E+00	2.32E+00		1.351E-01	-2.4E-02	-1.6E-02
1.359E-01	2.28E+00	2.32E+00		1.359E-01	-2.8E-02	-1.6E-02
1.367E-01	2.20E+00	2.24E+00		1.367E-01	-2.0E-02	-8.E-03
1.375E-01	2.24E+00	2.28E+00		1.375E-01	-2.0E-02	-1.2E-02
1.383E-01	2.20E+00	2.24E+00		1.383E-01	-2.0E-02	-1.2E-02
1.391E-01	2.16E+00	2.24E+00		1.391E-01	-2.4E-02	-1.6E-02
1.399E-01	2.16E+00	2.20E+00		1.399E-01	-2.4E-02	-1.6E-02
1.407E-01	2.16E+00	2.24E+00		1.407E-01	-2.4E-02	-1.6E-02
1.415E-01	2.16E+00	2.20E+00		1.415E-01	-2.4E-02	-1.6E-02
1.423E-01	2.16E+00	2.20E+00		1.423E-01	-2.4E-02	-1.6E-02
1.431E-01	2.12E+00	2.16E+00		1.431E-01	-2.4E-02	-1.6E-02
1.439E-01	2.16E+00	2.16E+00		1.439E-01	-2.0E-02	-1.2E-02
1.447E-01	2.08E+00	2.20E+00		1.447E-01	-2.4E-02	-1.2E-02
1.455E-01	2.08E+00	2.16E+00		1.455E-01	-2.4E-02	-1.6E-02
1.463E-01	2.12E+00	2.16E+00		1.463E-01	-2.0E-02	-1.2E-02
1.471E-01	2.08E+00	2.16E+00		1.471E-01	-2.4E-02	-1.2E-02
1.479E-01	2.08E+00	2.12E+00		1.479E-01	-2.8E-02	-1.6E-02
1.487E-01	2.04E+00	2.12E+00		1.487E-01	-3.2E-02	-2.0E-02
1.495E-01	2.08E+00	2.16E+00		1.495E-01	-2.8E-02	-1.2E-02
1.503E-01	2.08E+00	2.12E+00		1.503E-01	-2.8E-02	-1.6E-02
1.511E-01	2.04E+00	2.08E+00		1.511E-01	-2.4E-02	-1.6E-02
1.519E-01	2.08E+00	2.12E+00		1.519E-01	-2.0E-02	-1.2E-02
1.527E-01	2.00E+00	2.04E+00		1.527E-01	-2.0E-02	-1.2E-02
1.535E-01	2.00E+00	2.04E+00		1.535E-01	-2.0E-02	-1.2E-02
1.543E-01	2.00E+00	2.04E+00		1.543E-01	-2.4E-02	-1.6E-02
1.551E-01	2.04E+00	2.08E+00		1.551E-01	-2.4E-02	-1.6E-02
1.559E-01	2.00E+00	2.08E+00		1.559E-01	-2.4E-02	-1.6E-02
1.567E-01	1.92E+00	2.00E+00		1.567E-01	-2.0E-02	-1.2E-02
1.575E-01	1.96E+00	2.00E+00		1.575E-01	-2.4E-02	-1.6E-02
1.583E-01	1.92E+00	2.00E+00		1.583E-01	-2.0E-02	-1.2E-02
