"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	09/10/95	 		"Date         "	09/10/95	 
"Time         "	01:48:23	 		"Time         "	01:48:23	 
"X Scale      "	1,00E-02	 		"X Scale      "	1,00E-02	 
"X At 0%      "	4,72E-02	 		"X At 0%      "	4,72E-02	 
"X Resolution "	2,500000E+01	 		"X Resolution "	2,500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"10 ms/Div"	 		"X Label      "	"10 ms/Div"	 
"Y Scale      "	5,0E-01	 		"Y Scale      "	2,00E-02	 
"Y At 50%     "	1,34E+00	 		"Y At 50%     "	-8,00E-02	 
"Y Resolution "	2,500000E+01	 		"Y Resolution "	2,500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"V"	 		"Y Label      "	"mV"	 

7,12E-02	2,72E+00	2,76E+00		7,12E-02	-2,48E-02	-2,08E-02
7,16E-02	2,66E+00	2,72E+00		7,16E-02	-2,24E-02	-2,00E-02
7,20E-02	2,70E+00	2,72E+00		7,20E-02	-2,24E-02	-1,92E-02
7,24E-02	2,66E+00	2,70E+00		7,24E-02	-2,32E-02	-2,00E-02
7,28E-02	2,66E+00	2,70E+00		7,28E-02	-2,24E-02	-1,92E-02
7,32E-02	2,62E+00	2,68E+00		7,32E-02	-2,24E-02	-2,00E-02
7,36E-02	2,60E+00	2,66E+00		7,36E-02	-2,24E-02	-1,92E-02
7,40E-02	2,60E+00	2,66E+00		7,40E-02	-2,16E-02	-1,92E-02
7,44E-02	2,58E+00	2,64E+00		7,44E-02	-2,40E-02	-2,00E-02
7,48E-02	2,58E+00	2,62E+00		7,48E-02	-2,24E-02	-1,92E-02
7,52E-02	2,56E+00	2,62E+00		7,52E-02	-2,40E-02	-1,92E-02
7,56E-02	2,56E+00	2,62E+00		7,56E-02	-2,16E-02	-1,84E-02
7,60E-02	2,54E+00	2,58E+00		7,60E-02	-2,24E-02	-1,92E-02
7,64E-02	2,54E+00	2,58E+00		7,64E-02	-2,24E-02	-1,92E-02
7,68E-02	2,50E+00	2,56E+00		7,68E-02	-2,24E-02	-2,00E-02
7,72E-02	2,48E+00	2,56E+00		7,72E-02	-2,24E-02	-1,92E-02
7,76E-02	2,48E+00	2,54E+00		7,76E-02	-2,16E-02	-1,92E-02
7,80E-02	2,48E+00	2,56E+00		7,80E-02	-2,24E-02	-1,92E-02
7,84E-02	2,46E+00	2,52E+00		7,84E-02	-2,32E-02	-2,00E-02
7,88E-02	2,44E+00	2,50E+00		7,88E-02	-2,40E-02	-1,92E-02
7,92E-02	2,46E+00	2,48E+00		7,92E-02	-2,48E-02	-2,08E-02
7,96E-02	2,42E+00	2,46E+00		7,96E-02	-4,32E-02	-2,16E-02
